Date,Open,High,Low,Close
7-May-2026,36400.84,36476.09,36226.86,36333.79
8-May-2026,36302.67,36302.67,36132.49,36187.29
11-May-2026,35952.09,35958.89,35651.04,35679.54
12-May-2026,35557.27,35627.57,34855.61,34899.09
13-May-2026,34854.33,35250.75,34749.92,35010.26
14-May-2026,35213.34,35457.45,34936.77,35364.44
15-May-2026,35447.39,35520.01,35194.99,35236.50
18-May-2026,35037.09,35165.14,34630.24,35114.86
19-May-2026,35174.81,35397.09,35159.22,35201.48
20-May-2026,35030.21,35323.45,34887.74,35299.20
21-May-2026,35539.28,35615.31,35272.36,35340.31
22-May-2026,35427.79,35534.81,35350.16,35413.94
25-May-2026,35732.07,35880.87,35725.30,35849.10
26-May-2026,35823.34,35975.87,35726.94,35787.99
27-May-2026,35775.80,35953.19,35768.75,35899.16
29-May-2026,36001.02,36072.35,35331.85,35417.64
1-June-2026,35596.31,35657.35,35045.50,35077.62
2-June-2026,34913.43,35285.08,34794.20,35227.64
3-June-2026,35212.32,35212.32,34727.39,35107.33
4-June-2026,34989.05,35276.52,34919.05,35175.61
5-June-2026,35293.57,35358.18,35013.26,35141.95
8-June-2026,34755.78,34957.83,34592.97,34673.90
9-June-2026,34894.35,35009.49,34768.96,34979.26
10-June-2026,35007.73,35116.85,34722.57,34766.59
11-June-2026,34618.09,34806.04,34509.76,34580.95
12-June-2026,35010.77,35371.26,34870.37,35342.50
15-June-2026,35916.70,35965.66,35715.55,35764.67
16-June-2026,35905.93,35956.99,35799.07,35939.94
17-June-2026,36067.63,36143.34,35941.16,36125.82
18-June-2026,36180.25,36305.66,36096.74,36284.69
19-June-2026,36120.06,36216.28,35986.63,36174.54
22-June-2026,36323.61,36382.92,36280.95,36342.26
23-June-2026,36375.31,36414.88,35916.63,35959.97
24-June-2026,35972.25,36238.62,35858.43,36151.68
25-June-2026,36315.73,36409.29,36105.63,36133.32
29-June-2026,36138.93,36186.10,35872.83,35960.98
30-June-2026,36062.37,36088.17,35847.20,35958.71
1-July-2026,36008.74,36168.73,36007.29,36119.01
2-July-2026,36237.90,36393.09,36216.72,36376.02
3-July-2026,36617.01,36617.85,36410.17,36431.45
6-July-2026,36500.85,36660.33,36480.72,36640.89
7-July-2026,36715.20,36724.44,36486.34,36542.35
8-July-2026,36379.01,36446.49,35693.13,35821.44
9-July-2026,35884.06,36222.09,35884.06,36086.55
10-July-2026,36354.85,36520.08,36344.21,36506.10
13-July-2026,36267.32,36555.45,36176.36,36508.75
14-July-2026,36378.49,36400.60,36223.32,36265.57
15-July-2026,36366.12,36542.71,36295.91,36378.34
16-July-2026,36496.34,36516.31,36308.39,36331.82
17-July-2026,36401.95,36536.73,36348.35,36505.40
